,open,high,low,close,volume
2020-01-02,130.0,130.0,127.75,128.7,933617
2020-01-03,128.42,129.66,128.4,129.01,1163926
2020-01-06,128.96,129.43,128.12,128.98,955472
2020-01-07,129.09,129.09,127.62,128.55,733847
2020-01-08,128.79,128.99,128.21,128.48,716087
2020-01-09,128.33,129.05,128.33,128.66,807500
2020-01-10,129.0,129.44,128.76,128.94,1214429
2020-01-13,129.24,130.11,129.17,129.59,1010757
2020-01-14,129.65,130.28,128.81,130.26,1179942
2020-01-15,130.72,132.29,130.65,131.99,907879
2020-01-16,132.23,132.99,132.08,132.92,641830
2020-01-17,133.0,133.97,132.56,133.83,1015359
2020-01-21,133.93,134.44,133.05,133.93,1284081
2020-01-22,134.05,134.72,132.58,132.62,1421843
2020-01-23,132.59,134.12,132.35,133.9,1117386
2020-01-24,133.71,134.31,132.22,132.76,1248934
2020-01-27,132.92,133.65,131.72,132.29,938066
2020-01-28,132.33,133.58,132.15,132.46,812760
2020-01-29,132.46,132.87,131.94,131.95,1029471
2020-01-30,131.97,133.29,131.41,133.15,1459008
2020-01-31,133.08,133.58,132.1,132.61,1234580
2020-02-03,132.94,133.8,132.7,133.78,962288
2020-02-04,133.63,134.31,133.1,133.1,1405802
2020-02-05,134.0,134.81,132.99,134.45,1510687
2020-02-06,134.91,135.51,133.93,134.21,1238657
2020-02-07,134.49,134.81,133.52,133.61,850052
2020-02-10,133.73,133.81,132.92,133.46,805759
2020-02-11,133.69,134.27,133.28,134.02,819026
2020-02-12,133.81,134.41,133.4,133.75,858119
2020-02-13,133.67,134.11,133.07,133.55,1733326
2020-02-14,133.78,134.49,133.36,134.02,1624965
2020-02-18,134.54,135.35,134.28,134.65,1269308
2020-02-19,134.28,134.93,134.02,134.07,941416
2020-02-20,134.02,134.26,132.92,133.95,1117013
2020-02-21,133.99,135.67,133.84,134.96,1715496
2020-02-24,134.63,135.66,132.78,132.86,2082111
2020-02-25,132.83,133.27,128.08,128.12,1444544
2020-02-26,128.37,129.04,124.68,124.73,1499883
2020-02-27,124.02,124.38,117.93,118.01,2247816
2020-02-28,116.31,116.31,110.2,111.67,2907750
2020-03-02,113.07,116.86,111.4,116.64,2516963
2020-03-03,116.66,119.49,112.06,113.02,3049385
2020-03-04,114.39,119.35,114.05,119.31,1837869
2020-03-05,117.31,117.79,114.7,116.26,2002467
2020-03-06,112.9,116.62,110.57,116.12,2676873
2020-03-09,109.5,109.5,101.68,102.53,3072410
2020-03-10,104.51,108.14,100.86,108.01,3275212
2020-03-11,106.0,106.66,102.6,104.11,3070749
2020-03-12,95.97,99.19,87.45,91.18,2625373
2020-03-13,95.17,96.44,89.58,96.44,2238631
2020-03-16,81.0,91.61,79.92,83.03,2782070
2020-03-17,85.17,89.61,83.26,88.38,3017381
2020-03-18,83.84,83.84,71.21,77.0,2610156
2020-03-19,76.9,86.25,73.82,85.41,2920392
2020-03-20,86.61,87.67,81.19,83.0,4536880
2020-03-23,81.36,84.77,74.57,76.81,2192803
2020-03-24,80.51,87.17,79.14,86.52,2128319
2020-03-25,85.89,96.71,84.0,92.48,2267499
