,open,high,low,close,volume
2020-01-02,180.78,182.7,180.02,182.57,1005598
2020-01-03,179.33,181.17,177.86,179.08,833408
2020-01-06,176.32,177.56,174.09,175.05,1266784
2020-01-07,176.14,177.77,174.3,176.44,1140522
2020-01-08,176.5,178.66,175.52,176.67,883499
2020-01-09,178.41,179.42,174.95,175.49,916894
2020-01-10,176.41,177.43,171.95,173.01,883844
2020-01-13,173.97,175.11,173.36,175.1,656674
2020-01-14,175.91,178.22,174.07,177.48,1279640
2020-01-15,177.09,178.7,175.85,177.92,922813
2020-01-16,179.5,181.83,179.01,180.91,1197268
2020-01-17,180.87,180.9,177.36,178.73,1604769
2020-01-21,177.65,180.89,177.57,178.81,1551143
2020-01-22,180.0,182.78,179.87,180.13,1084723
2020-01-23,179.82,182.66,179.12,182.55,1056877
2020-01-24,183.88,184.5,178.43,179.4,961020
2020-01-27,174.77,175.23,169.85,170.31,1581385
2020-01-28,172.2,176.33,171.7,175.93,938118
2020-01-29,176.35,176.94,171.66,171.72,1029384
2020-01-30,173.5,175.37,169.57,172.92,1447964
2020-01-31,171.38,172.75,165.25,165.74,1505971
2020-02-03,167.27,170.65,167.01,169.93,1181617
2020-02-04,174.33,178.8,173.84,178.8,1735912
2020-02-05,176.06,177.79,168.8,171.28,3113142
2020-02-06,171.43,173.39,170.15,171.74,1370335
2020-02-07,170.71,171.27,164.76,165.1,1492780
2020-02-10,164.1,169.01,164.08,168.92,1680342
2020-02-11,169.21,173.53,168.33,173.04,1268990
2020-02-12,174.0,176.46,173.85,175.97,958016
2020-02-13,175.68,180.08,174.91,178.72,1158098
2020-02-14,179.12,179.76,174.89,176.28,864866
2020-02-18,167.0,172.0,166.67,169.23,1778465
2020-02-19,172.21,174.82,171.0,172.98,1069265
2020-02-20,171.74,172.42,165.67,167.3,1664537
2020-02-21,165.67,166.25,160.81,161.12,1909894
2020-02-24,154.75,156.86,152.9,153.73,2649605
2020-02-25,155.28,155.99,147.07,147.41,2046877
2020-02-26,149.0,150.65,146.22,147.27,1879530
2020-02-27,142.81,148.38,142.27,147.99,3589666
2020-02-28,142.09,153.93,142.09,153.71,3695232
2020-03-02,154.5,159.0,151.71,158.74,2706741
2020-03-03,156.81,159.29,152.38,153.81,2397553
2020-03-04,157.09,160.71,154.66,160.71,1493454
2020-03-05,156.65,158.88,154.48,156.69,1697018
2020-03-06,152.05,156.14,151.49,155.68,1858352
2020-03-09,144.98,150.49,144.26,144.92,2815758
2020-03-10,148.51,154.76,145.58,154.57,2438494
2020-03-11,150.13,152.22,142.62,144.92,2730659
2020-03-12,135.24,139.0,125.25,125.36,2672898
2020-03-13,132.82,145.76,127.89,145.37,2804666
2020-03-16,128.69,140.48,126.19,129.5,2752351
2020-03-17,131.87,150.44,125.64,149.63,3213596
2020-03-18,132.25,143.13,127.36,132.02,2664900
2020-03-19,131.88,135.42,126.76,127.36,1955175
2020-03-20,129.71,132.55,113.08,114.02,2632573
2020-03-23,114.32,120.69,110.19,116.36,2124904
2020-03-24,121.7,136.55,120.0,136.36,2776148
2020-03-25,135.72,145.94,134.39,137.47,1703164
2020-03-26,140.77,150.47,139.06,149.76,1870541
2020-03-27,145.04,147.17,141.32,142.24,2240885
2020-03-30,142.07,150.57,142.0,149.52,1623722
2020-03-31,150.84,150.84,141.53,143.74,2907516
2020-04-01,138.7,141.22,129.66,131.61,1661089
2020-04-02,129.57,133.79,129.31,132.44,1346403
2020-04-03,130.82,132.99,125.56,127.94,1143931
2020-04-06,135.21,149.21,132.93,148.5,1846103
2020-04-07,154.1,155.0,146.52,147.27,1454117
2020-04-08,149.59,153.15,146.91,152.37,1349997
2020-04-09,152.15,157.87,148.49,150.12,1303806
2020-04-13,149.5,152.42,148.18,152.09,868569
2020-04-14,155.1,162.34,153.81,161.73,1274733
2020-04-15,158.18,158.3,151.11,153.22,1278665
2020-04-16,158.21,160.75,154.23,156.65,1562959
2020-04-17,160.93,162.29,157.79,161.21,998115
2020-04-20,158.79,160.34,156.05,156.3,634822
2020-04-21,153.44,154.18,147.46,148.59,1284703
2020-04-22,154.31,159.36,151.29,158.68,1207793
2020-04-23,158.44,160.84,157.01,159.45,1404575
2020-04-24,160.98,165.57,158.02,164.92,1492528
2020-04-27,167.04,169.24,164.64,166.06,1030546
2020-04-28,168.39,170.77,165.95,166.27,1198925
2020-04-29,169.93,177.17,168.21,175.89,1518978
2020-04-30,173.95,175.31,163.97,164.09,1241425
2020-05-01,158.3,158.89,147.71,150.27,2692772
2020-05-04,149.68,152.87,147.54,152.0,1473247
2020-05-05,156.46,160.69,153.96,155.63,1868984
2020-05-06,163.41,169.13,158.46,163.81,2422730
2020-05-07,167.37,169.69,163.57,163.84,1683633
2020-05-08,166.83,172.39,165.68,171.5,1265444
2020-05-11,169.19,169.95,167.28,168.78,1145786
2020-05-12,170.22,171.19,165.41,165.57,965411
2020-05-13,165.37,168.61,160.66,164.07,1805145
2020-05-14,162.55,176.96,158.89,176.75,2683539
2020-05-15,168.03,171.62,165.98,167.43,3709972
2020-05-18,171.81,173.47,168.78,172.31,1492117
2020-05-19,172.21,177.63,171.14,172.52,1074834
2020-05-20,175.5,180.21,174.97,177.92,1302644
2020-05-21,176.13,177.25,171.86,172.43,996328
2020-05-22,173.77,173.97,170.4,173.0,666445
2020-05-26,176.91,180.33,174.69,176.64,1911356
2020-05-27,178.12,178.9,168.24,176.73,1659567
2020-05-28,177.66,180.22,173.4,174.61,1272036
2020-05-29,176.0,177.97,173.57,175.96,1792117
2020-06-01,175.0,178.4,173.45,175.96,1085607
2020-06-02,175.3,177.55,172.94,177.29,892655
2020-06-03,178.84,186.95,178.38,186.05,1659961
2020-06-04,184.81,189.12,183.69,186.29,1068678
2020-06-05,190.22,196.25,189.33,192.48,1500164
2020-06-08,193.62,194.06,188.77,191.87,816520
2020-06-09,190.54,192.55,188.65,191.03,776389
2020-06-10,192.43,195.0,190.34,192.77,779670
2020-06-11,191.32,191.32,179.84,180.58,1460454
2020-06-12,186.17,188.4,180.07,184.69,1253125
2020-06-15,178.24,188.13,176.58,187.75,1270852
2020-06-16,193.86,196.97,188.73,192.99,1482522
2020-06-17,193.17,196.3,192.17,193.89,1246231
